site,asset,scale,x,y,z,yaw_deg,W,H,D,role,support,outside_cell
Drift10,FP_Alpine_Snow_Drift,1.000,-133.00,0.30,-55.00,90.0,13.00,2.50,8.00,Grounded,Ground,false
Drift11,FP_Alpine_Snow_Drift,0.900,-133.00,0.30,0.00,90.0,11.70,2.25,7.20,Grounded,Ground,false
Drift12,FP_Alpine_Snow_Drift,1.000,-131.50,0.30,-94.00,0.0,13.00,2.50,8.00,Grounded,Ground,false
Drift13,FP_Alpine_Snow_Drift,1.000,-104.00,0.30,-92.00,-5.0,13.00,2.50,8.00,Grounded,Ground,false
Drift14,FP_Alpine_Snow_Drift,0.900,78.00,0.30,-94.00,0.0,11.70,2.25,7.20,Grounded,Ground,false
Drift15,FP_Alpine_Snow_Drift,0.900,-78.00,0.30,-94.00,0.0,11.70,2.25,7.20,Grounded,Ground,false
Drift16,FP_Alpine_Snow_Drift,0.900,106.00,0.30,-24.00,10.0,11.70,2.25,7.20,Grounded,Ground,false
Drift17,FP_Alpine_Snow_Drift,0.900,-110.00,0.30,-48.00,-15.0,11.70,2.25,7.20,Grounded,Ground,false
Drift18,FP_Alpine_Snow_Drift,0.800,60.00,0.30,62.00,20.0,10.40,2.00,6.40,Grounded,Ground,false
Drift19,FP_Alpine_Snow_Drift,0.800,-60.00,0.30,64.00,-20.0,10.40,2.00,6.40,Grounded,Ground,false
Drift20,FP_Alpine_Snow_Drift,0.800,-88.00,0.30,30.00,0.0,10.40,2.00,6.40,Grounded,Ground,false
Drift21,FP_Alpine_Snow_Drift,0.800,88.00,0.30,14.00,0.0,10.40,2.00,6.40,Grounded,Ground,false
Drift22,FP_Alpine_Snow_Drift,0.800,97.00,0.30,25.50,0.0,10.40,2.00,6.40,Grounded,Ground,false
Drift23,FP_Alpine_Snow_Drift,0.800,131.00,0.30,25.50,0.0,10.40,2.00,6.40,Grounded,Ground,false
Drift24,FP_Alpine_Snow_Drift,0.900,133.00,0.30,-75.00,90.0,11.70,2.25,7.20,Grounded,Ground,false
Drift25,FP_Alpine_Snow_Drift,1.000,133.00,0.30,-20.00,90.0,13.00,2.50,8.00,Grounded,Ground,false
Drift26,FP_Alpine_Snow_Drift,0.800,133.00,0.30,8.00,90.0,10.40,2.00,6.40,Grounded,Ground,false
Drift27,FP_Alpine_Snow_Drift,0.900,-133.00,0.30,-80.00,90.0,11.70,2.25,7.20,Grounded,Ground,false
Drift28,FP_Alpine_Snow_Drift,1.000,-133.00,0.30,-32.00,90.0,13.00,2.50,8.00,Grounded,Ground,false
Drift29,FP_Alpine_Snow_Drift,0.800,-133.00,0.30,-12.00,90.0,10.40,2.00,6.40,Grounded,Ground,false
Drift30,FP_Alpine_Snow_Drift,0.900,32.00,0.30,93.00,0.0,11.70,2.25,7.20,Grounded,Ground,false
Drift31,FP_Alpine_Snow_Drift,0.900,-32.00,0.30,93.00,0.0,11.70,2.25,7.20,Grounded,Ground,false
Drift32,FP_Alpine_Snow_Drift,0.800,58.00,0.30,-94.00,0.0,10.40,2.00,6.40,Grounded,Ground,false
Drift33,FP_Alpine_Snow_Drift,0.800,-52.00,0.30,-94.00,0.0,10.40,2.00,6.40,Grounded,Ground,false
Fir01,FP_Alpine_Fir_Medium,0.900,-66.00,12.30,91.00,-115.3,9.90,16.20,9.90,Stacked,PropSites/CliffBlock04,false
Fir02,FP_Alpine_Fir_Medium,1.000,-86.00,20.30,86.00,-80.4,11.00,18.00,11.00,Stacked,PropSites/CliffWide03,false
Fir03,FP_Alpine_Fir_Medium,0.900,-127.00,34.30,85.00,-10.5,9.90,16.20,9.90,Stacked,PropSites/CliffTall03,false
Fir04,FP_Alpine_Fir_Tall,1.192,113.00,0.30,-34.60,35.0,17.88,31.00,17.88,Grounded,Ground,false
Fir05,FP_Alpine_Fir_Medium,1.319,130.74,0.30,-18.40,69.9,14.51,23.75,14.51,Grounded,Ground,false
Fir06,FP_Alpine_Fir_Medium,0.929,123.60,0.30,-30.80,104.9,10.22,16.72,10.22,Grounded,Ground,false
Fir07,FP_Alpine_Fir_Medium,1.182,91.80,0.30,-49.00,139.8,13.00,21.28,13.00,Grounded,Ground,false
Fir08,FP_Alpine_Fir_Tall,1.073,127.40,0.30,-75.90,174.8,16.10,27.90,16.10,Grounded,Ground,false
Fir09,FP_Alpine_Fir_Medium,0.918,114.60,0.30,-63.80,-150.3,10.10,16.53,10.10,Grounded,Ground,false
Fir10,FP_Alpine_Fir_Medium,0.739,133.70,0.30,-82.80,-115.3,8.13,13.30,8.13,Grounded,Ground,false
Fir11,FP_Alpine_Fir_Medium,0.760,125.30,0.30,-85.00,-80.4,8.36,13.68,8.36,Grounded,Ground,false
Fir12,FP_Alpine_Fir_Sapling,1.000,108.20,0.30,-68.10,-45.4,6.00,10.00,6.00,Grounded,Ground,false
Fir13,FP_Alpine_Fir_Medium,1.129,124.60,0.30,2.50,-10.5,12.42,20.33,12.42,Grounded,Ground,false
Fir14,FP_Alpine_Fir_Medium,0.908,133.01,0.30,3.00,24.5,9.99,16.34,9.99,Grounded,Ground,false
Fir15,FP_Alpine_Fir_Sapling,1.200,115.20,0.30,2.00,59.4,7.20,12.00,7.20,Grounded,Ground,false
Fir16,FP_Alpine_Fir_Medium,0.897,100.80,0.30,-3.50,94.4,9.87,16.15,9.87,Grounded,Ground,false
Fir17,FP_Alpine_Fir_Sapling,1.250,71.00,0.30,-84.50,129.3,7.50,12.50,7.50,Grounded,Ground,false
Fir18,FP_Alpine_Fir_Medium,0.760,44.20,0.30,-84.00,164.3,8.36,13.68,8.36,Grounded,Ground,false
Fir19,FP_Alpine_Fir_Medium,1.056,-48.90,0.30,-84.00,-160.8,11.61,19.00,11.61,Grounded,Ground,false
Fir20,FP_Alpine_Fir_Medium,0.813,-56.40,0.30,-81.50,-125.8,8.94,14.63,8.94,Grounded,Ground,false
Fir21,FP_Alpine_Fir_Sapling,0.600,-84.20,0.30,-86.00,-90.9,3.60,6.00,3.60,Grounded,Ground,false
Fir22,FP_Alpine_Fir_Medium,1.119,59.50,0.30,73.40,-55.9,12.31,20.14,12.31,Grounded,Ground,false
Fir23,FP_Alpine_Fir_Tall,0.906,39.60,0.30,88.00,-21.0,13.59,23.56,13.59,Grounded,Ground,false
Fir24,FP_Alpine_Fir_Sapling,1.150,58.30,0.30,94.55,14.0,6.90,11.50,6.90,Grounded,Ground,false
Fir25,FP_Alpine_Fir_Sapling,0.800,47.30,0.30,95.60,48.9,4.80,8.00,4.80,Grounded,Ground,false
Fir26,FP_Alpine_Fir_Medium,1.056,24.50,0.30,70.20,83.9,11.61,19.00,11.61,Grounded,Ground,false
Fir27,FP_Alpine_Fir_Medium,1.161,88.00,0.30,80.00,118.8,12.77,20.90,12.77,Grounded,Ground,false
Fir28,FP_Alpine_Fir_Medium,0.633,134.52,5.80,73.50,153.8,6.97,11.40,6.97,Stacked,Walkways/TerraceSnow,false
Fir29,FP_Alpine_Fir_Tall,0.954,-56.80,0.30,77.70,-171.3,14.31,24.80,14.31,Grounded,Ground,false
Fir30,FP_Alpine_Fir_Medium,0.897,-52.20,0.30,93.00,-136.3,9.87,16.15,9.87,Grounded,Ground,false
Fir31,FP_Alpine_Fir_Tall,0.954,-93.70,0.30,76.00,-101.4,14.31,24.80,14.31,Grounded,Ground,false
Fir32,FP_Alpine_Fir_Medium,0.771,-130.80,0.30,56.80,-66.4,8.48,13.87,8.48,Grounded,Ground,false
Fir33,FP_Alpine_Fir_Sapling,1.100,-132.10,0.30,41.00,-31.5,6.60,11.00,6.60,Grounded,Ground,false
Fir34,FP_Alpine_Fir_Medium,0.771,-86.40,0.30,-46.70,3.5,8.48,13.87,8.48,Grounded,Ground,false
Fir35,FP_Alpine_Fir_Medium,0.771,-95.80,0.30,-39.50,38.4,8.48,13.87,8.48,Grounded,Ground,false
Fir36,FP_Alpine_Fir_Sapling,1.050,-100.60,0.30,-43.30,73.4,6.30,10.50,6.30,Grounded,Ground,false
Fir37,FP_Alpine_Fir_Tall,1.013,-114.90,0.30,-64.70,108.3,15.20,26.35,15.20,Grounded,Ground,false
Fir38,FP_Alpine_Fir_Medium,1.267,-105.60,0.30,-77.90,143.3,13.93,22.80,13.93,Grounded,Ground,false
Fir39,FP_Alpine_Fir_Medium,0.982,-129.30,0.30,-63.00,178.2,10.80,17.67,10.80,Grounded,Ground,false
Fir40,FP_Alpine_Fir_Medium,0.908,-131.90,0.30,-80.60,-146.8,9.99,16.34,9.99,Grounded,Ground,false
Fir41,FP_Alpine_Fir_Medium,1.267,-126.50,0.30,-28.70,-111.9,13.93,22.80,13.93,Grounded,Ground,false
Fir42,FP_Alpine_Fir_Medium,0.823,-133.47,0.30,-17.00,-76.9,9.06,14.82,9.06,Grounded,Ground,false
Fir43,FP_Alpine_Fir_Medium,0.929,-99.00,0.30,-17.60,-42.0,10.22,16.72,10.22,Grounded,Ground,false
Fir44,FP_Alpine_Fir_Medium,0.781,-104.70,0.30,-19.50,-7.0,8.59,14.06,8.59,Grounded,Ground,false
Fir45,FP_Alpine_Fir_Sapling,0.920,-84.60,0.30,-85.60,27.9,5.52,9.20,5.52,Grounded,Ground,false
FlankFir01,FP_Alpine_Fir_Tall,1.000,-147.00,0.12,-92.00,-7.0,15.00,26.00,15.00,Stacked,Landmarks/Flanks/FlankSnow,true
FlankFir02,FP_Alpine_Fir_Medium,1.222,-149.00,0.12,-75.60,27.9,13.44,22.00,13.44,Stacked,Landmarks/Flanks/FlankSnow,true
FlankFir03,FP_Alpine_Fir_Tall,1.115,-151.00,0.12,-59.20,62.9,16.73,29.00,16.73,Stacked,Landmarks/Flanks/FlankSnow,true
FlankFir04,FP_Alpine_Fir_Tall,1.038,-148.00,0.12,-42.80,97.8,15.58,27.00,15.58,Stacked,Landmarks/Flanks/FlankSnow,true
FlankFir05,FP_Alpine_Fir_Medium,1.167,-150.00,0.12,-26.40,132.8,12.83,21.00,12.83,Stacked,Landmarks/Flanks/FlankSnow,true
FlankFir06,FP_Alpine_Fir_Tall,1.154,-147.00,0.12,-10.00,167.7,17.31,30.00,17.31,Stacked,Landmarks/Flanks/FlankSnow,true
FlankFir07,FP_Alpine_Fir_Tall,1.077,-149.00,0.12,6.40,-157.3,16.15,28.00,16.15,Stacked,Landmarks/Flanks/FlankSnow,true
FlankFir08,FP_Alpine_Fir_Medium,1.111,-151.00,0.12,22.80,-122.4,12.22,20.00,12.22,Stacked,Landmarks/Flanks/FlankSnow,true
FlankFir09,FP_Alpine_Fir_Tall,1.192,-148.00,0.12,39.20,-87.4,17.88,31.00,17.88,Stacked,Landmarks/Flanks/FlankSnow,true
FlankFir10,FP_Alpine_Fir_Tall,1.115,-150.00,0.12,55.60,-52.5,16.73,29.00,16.73,Stacked,Landmarks/Flanks/FlankSnow,true
FlankFir11,FP_Alpine_Fir_Medium,1.056,-147.00,0.12,72.00,-17.5,11.61,19.00,11.61,Stacked,Landmarks/Flanks/FlankSnow,true
FlankFir12,FP_Alpine_Fir_Tall,1.231,-149.00,0.12,88.40,17.4,18.46,32.00,18.46,Stacked,Landmarks/Flanks/FlankSnow,true
FlankFir13,FP_Alpine_Fir_Tall,1.038,-160.00,0.12,-82.00,52.4,15.58,27.00,15.58,Stacked,Landmarks/Flanks/FlankSnow,true
FlankFir14,FP_Alpine_Fir_Tall,1.154,-171.00,0.12,-65.60,87.3,17.31,30.00,17.31,Stacked,Landmarks/Flanks/FlankSnow,true
FlankFir15,FP_Alpine_Fir_Medium,1.222,-170.00,0.12,-49.20,122.3,13.44,22.00,13.44,Stacked,Landmarks/Flanks/FlankSnow,true
FlankFir16,FP_Alpine_Fir_Tall,1.154,-169.00,0.12,-32.80,157.2,17.31,30.00,17.31,Stacked,Landmarks/Flanks/FlankSnow,true
FlankFir17,FP_Alpine_Fir_Tall,1.038,-168.00,0.12,-16.40,-167.8,15.58,27.00,15.58,Stacked,Landmarks/Flanks/FlankSnow,true
FlankFir18,FP_Alpine_Fir_Tall,1.154,-167.00,0.12,0.00,-132.9,17.31,30.00,17.31,Stacked,Landmarks/Flanks/FlankSnow,true
FlankFir19,FP_Alpine_Fir_Medium,1.222,-166.00,0.12,16.40,-97.9,13.44,22.00,13.44,Stacked,Landmarks/Flanks/FlankSnow,true
FlankFir20,FP_Alpine_Fir_Tall,1.154,-165.00,0.12,32.80,-63.0,17.31,30.00,17.31,Stacked,Landmarks/Flanks/FlankSnow,true
FlankFir21,FP_Alpine_Fir_Tall,1.038,-164.00,0.12,49.20,-28.0,15.58,27.00,15.58,Stacked,Landmarks/Flanks/FlankSnow,true
FlankFir22,FP_Alpine_Fir_Tall,1.154,-163.00,0.12,65.60,6.9,17.31,30.00,17.31,Stacked,Landmarks/Flanks/FlankSnow,true
FlankFir23,FP_Alpine_Fir_Medium,1.222,-162.00,0.12,82.00,41.9,13.44,22.00,13.44,Stacked,Landmarks/Flanks/FlankSnow,true
FlankFir24,FP_Alpine_Fir_Tall,1.000,147.00,0.12,-88.00,76.8,15.00,26.00,15.00,Stacked,Landmarks/Flanks/FlankSnow,true
FlankFir25,FP_Alpine_Fir_Medium,1.222,149.00,0.12,-71.60,111.8,13.44,22.00,13.44,Stacked,Landmarks/Flanks/FlankSnow,true
FlankFir26,FP_Alpine_Fir_Tall,1.115,151.00,0.12,-55.20,146.7,16.73,29.00,16.73,Stacked,Landmarks/Flanks/FlankSnow,true
FlankFir27,FP_Alpine_Fir_Tall,1.038,148.00,0.12,-38.80,-178.3,15.58,27.00,15.58,Stacked,Landmarks/Flanks/FlankSnow,true
FlankFir28,FP_Alpine_Fir_Medium,1.167,150.00,0.12,-22.40,-143.4,12.83,21.00,12.83,Stacked,Landmarks/Flanks/FlankSnow,true
FlankFir29,FP_Alpine_Fir_Tall,1.154,147.00,0.12,-6.00,-108.4,17.31,30.00,17.31,Stacked,Landmarks/Flanks/FlankSnow,true
FlankFir30,FP_Alpine_Fir_Tall,1.077,149.00,0.12,10.40,-73.5,16.15,28.00,16.15,Stacked,Landmarks/Flanks/FlankSnow,true
FlankFir31,FP_Alpine_Fir_Medium,1.111,151.00,0.12,26.80,-38.5,12.22,20.00,12.22,Stacked,Landmarks/Flanks/FlankSnow,true
FlankFir32,FP_Alpine_Fir_Tall,1.192,148.00,0.12,43.20,-3.6,17.88,31.00,17.88,Stacked,Landmarks/Flanks/FlankSnow,true
FlankFir33,FP_Alpine_Fir_Tall,1.115,150.00,0.12,59.60,31.4,16.73,29.00,16.73,Stacked,Landmarks/Flanks/FlankSnow,true
FlankFir34,FP_Alpine_Fir_Medium,1.056,147.00,0.12,76.00,66.3,11.61,19.00,11.61,Stacked,Landmarks/Flanks/FlankSnow,true
FlankFir35,FP_Alpine_Fir_Tall,1.231,149.00,0.12,92.40,101.3,18.46,32.00,18.46,Stacked,Landmarks/Flanks/FlankSnow,true
FlankFir36,FP_Alpine_Fir_Tall,1.038,160.00,0.12,-87.00,136.2,15.58,27.00,15.58,Stacked,Landmarks/Flanks/FlankSnow,true
FlankFir37,FP_Alpine_Fir_Tall,1.154,171.00,0.12,-70.60,171.2,17.31,30.00,17.31,Stacked,Landmarks/Flanks/FlankSnow,true
FlankFir38,FP_Alpine_Fir_Medium,1.222,170.00,0.12,-54.20,-153.9,13.44,22.00,13.44,Stacked,Landmarks/Flanks/FlankSnow,true
FlankFir39,FP_Alpine_Fir_Tall,1.154,169.00,0.12,-37.80,-118.9,17.31,30.00,17.31,Stacked,Landmarks/Flanks/FlankSnow,true
FlankFir40,FP_Alpine_Fir_Tall,1.038,168.00,0.12,-21.40,-84.0,15.58,27.00,15.58,Stacked,Landmarks/Flanks/FlankSnow,true
FlankFir41,FP_Alpine_Fir_Tall,1.154,167.00,0.12,-5.00,-49.0,17.31,30.00,17.31,Stacked,Landmarks/Flanks/FlankSnow,true
FlankFir42,FP_Alpine_Fir_Medium,1.222,166.00,0.12,11.40,-14.1,13.44,22.00,13.44,Stacked,Landmarks/Flanks/FlankSnow,true
FlankFir43,FP_Alpine_Fir_Tall,1.154,165.00,0.12,27.80,20.9,17.31,30.00,17.31,Stacked,Landmarks/Flanks/FlankSnow,true
FlankFir44,FP_Alpine_Fir_Tall,1.038,164.00,0.12,44.20,55.8,15.58,27.00,15.58,Stacked,Landmarks/Flanks/FlankSnow,true
FlankFir45,FP_Alpine_Fir_Tall,1.154,163.00,0.12,60.60,90.8,17.31,30.00,17.31,Stacked,Landmarks/Flanks/FlankSnow,true
FlankFir46,FP_Alpine_Fir_Medium,1.222,162.00,0.12,77.00,125.7,13.44,22.00,13.44,Stacked,Landmarks/Flanks/FlankSnow,true
GorgeRock01,FP_Alpine_Gorge_Rock,1.000,-132.30,0.30,49.00,0.0,12.00,11.00,50.00,Grounded,Ground,false
LanternPost01,FP_Alpine_Lantern_Post,0.850,126.50,5.80,33.00,0.0,2.04,5.95,2.55,Stacked,Walkways/TerraceSnow,false
LanternPost02,FP_Alpine_Lantern_Post,0.850,92.50,5.80,55.50,0.0,2.04,5.95,2.55,Stacked,Walkways/TerraceSnow,false
Lodge01,FP_Alpine_Lodge,1.000,113.50,5.80,58.50,0.0,40.00,30.00,24.00,Stacked,Walkways/TerraceSnow,false
NoticeBoard01,FP_Alpine_Notice_Board,1.000,89.50,5.80,63.00,-15.0,4.00,5.00,1.00,Stacked,Walkways/TerraceSnow,false
Pennant01,FP_Alpine_Pennant,0.850,90.51,5.80,38.95,0.0,4.25,9.35,0.85,Stacked,Walkways/TerraceSnow,false
Pennant02,FP_Alpine_Pennant,1.150,98.72,5.80,56.94,0.0,5.75,12.65,1.15,Stacked,Walkways/TerraceSnow,false
Plant01,FP_Alpine_Grass,0.550,130.80,0.30,-37.50,51.6,3.30,2.20,3.30,Grounded,Ground,false
Plant02,FP_Alpine_Grass,0.550,102.70,0.30,-32.30,103.1,3.30,2.20,3.30,Grounded,Ground,false
Plant03,FP_Alpine_Grass,0.550,116.90,0.30,-74.50,154.7,3.30,2.20,3.30,Grounded,Ground,false
Plant04,FP_Alpine_Grass,0.550,83.30,0.30,-77.30,-153.7,3.30,2.20,3.30,Grounded,Ground,false
Plant05,FP_Alpine_Frosted_Shrub,0.570,93.20,0.30,-4.40,-102.2,3.99,2.85,3.99,Grounded,Ground,false
Plant06,FP_Alpine_Frosted_Shrub,0.570,86.80,0.30,-66.60,-50.6,3.99,2.85,3.99,Grounded,Ground,false
Plant07,FP_Alpine_Grass,0.550,-96.30,0.30,-16.40,1.0,3.30,2.20,3.30,Grounded,Ground,false
Plant08,FP_Alpine_Grass,0.550,-120.60,0.30,-15.50,52.5,3.30,2.20,3.30,Grounded,Ground,false
Plant09,FP_Alpine_Grass,0.550,-82.20,0.30,-46.70,104.1,3.30,2.20,3.30,Grounded,Ground,false
Plant10,FP_Alpine_Grass,0.550,-93.60,0.30,-66.10,155.7,3.30,2.20,3.30,Grounded,Ground,false
Plant11,FP_Alpine_Grass,0.550,-123.50,0.30,-73.90,-152.8,3.30,2.20,3.30,Grounded,Ground,false
Plant12,FP_Alpine_Grass,0.550,-106.60,0.30,-81.20,-101.2,3.30,2.20,3.30,Grounded,Ground,false
Plant13,FP_Alpine_Frosted_Shrub,0.570,-97.60,0.30,-64.70,-49.6,3.99,2.85,3.99,Grounded,Ground,false
Plant14,FP_Alpine_Frosted_Shrub,0.570,-87.90,0.30,-49.00,1.9,3.99,2.85,3.99,Grounded,Ground,false
Plant15,FP_Alpine_Grass,0.550,-90.80,0.30,24.00,53.5,3.30,2.20,3.30,Grounded,Ground,false
Plant16,FP_Alpine_Grass,0.550,-81.60,0.30,42.50,105.1,3.30,2.20,3.30,Grounded,Ground,false
Plant17,FP_Alpine_Frosted_Shrub,0.570,-82.80,0.30,29.00,156.6,3.99,2.85,3.99,Grounded,Ground,false
Plant18,FP_Alpine_Grass,0.550,68.00,0.30,80.90,-151.8,3.30,2.20,3.30,Grounded,Ground,false
Plant19,FP_Alpine_Grass,0.550,57.50,0.30,68.00,-100.2,3.30,2.20,3.30,Grounded,Ground,false
Plant20,FP_Alpine_Grass,0.550,46.10,0.30,66.40,-48.7,3.30,2.20,3.30,Grounded,Ground,false
Plant21,FP_Alpine_Frosted_Shrub,0.570,67.70,0.30,69.60,2.9,3.99,2.85,3.99,Grounded,Ground,false
Plant22,FP_Alpine_Grass,0.550,25.00,0.30,85.80,54.5,3.30,2.20,3.30,Grounded,Ground,false
Plant23,FP_Alpine_Grass,0.550,-33.10,0.30,90.00,106.0,3.30,2.20,3.30,Grounded,Ground,false
Plant24,FP_Alpine_Grass,0.550,-36.10,0.30,69.60,157.6,3.30,2.20,3.30,Grounded,Ground,false
Plant25,FP_Alpine_Frosted_Shrub,0.570,-38.50,0.30,77.70,-150.8,3.99,2.85,3.99,Grounded,Ground,false
Plant26,FP_Alpine_Grass,0.550,-81.40,0.30,74.40,-99.3,3.30,2.20,3.30,Grounded,Ground,false
Plant27,FP_Alpine_Grass,0.550,81.10,0.30,22.00,-47.7,3.30,2.20,3.30,Grounded,Ground,false
Plant28,FP_Alpine_Grass,0.550,101.10,0.30,21.00,3.9,3.30,2.20,3.30,Grounded,Ground,false
Plant29,FP_Alpine_Grass,0.550,97.50,0.30,18.00,55.4,3.30,2.20,3.30,Grounded,Ground,false
Plant30,FP_Alpine_Grass,0.550,40.00,0.30,-86.00,107.0,3.30,2.20,3.30,Grounded,Ground,false
Plant31,FP_Alpine_Grass,0.550,60.00,0.30,-88.00,158.6,3.30,2.20,3.30,Grounded,Ground,false
Plant32,FP_Alpine_Grass,0.550,-40.00,0.30,-87.00,-149.9,3.30,2.20,3.30,Grounded,Ground,false
Plant33,FP_Alpine_Grass,0.550,-66.00,0.30,-88.00,-98.3,3.30,2.20,3.30,Grounded,Ground,false
Plant34,FP_Alpine_Frosted_Shrub,0.570,78.00,0.30,-88.00,-46.7,3.99,2.85,3.99,Grounded,Ground,false
Plant35,FP_Alpine_Frosted_Shrub,0.570,-74.00,0.30,-84.00,4.8,3.99,2.85,3.99,Grounded,Ground,false
Plant36,FP_Alpine_Grass,0.550,29.41,0.30,66.01,52.5,3.30,2.20,3.30,Grounded,Ground,false
Plant37,FP_Alpine_Frosted_Shrub,0.570,27.03,0.30,58.23,53.5,3.99,2.85,3.99,Grounded,Ground,false
Plant38,FP_Alpine_Grass,0.550,34.47,0.30,60.94,105.1,3.30,2.20,3.30,Grounded,Ground,false
Plant39,FP_Alpine_Grass,0.550,37.68,0.30,57.54,54.5,3.30,2.20,3.30,Grounded,Ground,false
Plant40,FP_Alpine_Grass,0.550,-74.19,0.30,64.89,55.4,3.30,2.20,3.30,Grounded,Ground,false
Plant41,FP_Alpine_Frosted_Shrub,0.570,-64.62,0.30,62.33,107.0,3.99,2.85,3.99,Grounded,Ground,false
Plant42,FP_Alpine_Frosted_Shrub,0.570,-32.04,0.30,72.16,56.4,3.99,2.85,3.99,Grounded,Ground,false
Plant43,FP_Alpine_Grass,0.550,-104.93,0.30,77.69,57.3,3.30,2.20,3.30,Grounded,Ground,false
Plant44,FP_Alpine_Grass,0.550,-99.07,0.30,77.69,108.9,3.30,2.20,3.30,Grounded,Ground,false
Plant45,FP_Alpine_Grass,0.550,95.53,0.30,-76.63,58.3,3.30,2.20,3.30,Grounded,Ground,false
Plant46,FP_Alpine_Frosted_Shrub,0.570,84.61,0.30,-84.89,59.3,3.99,2.85,3.99,Grounded,Ground,false
Plant47,FP_Alpine_Grass,0.550,93.19,0.30,-89.84,110.8,3.30,2.20,3.30,Grounded,Ground,false
